"Data Year","Data Year (cat)","Class Grade","Class Grade (cat)",State,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2019,y2019,12,G12,CA,Male,16,[16],Right-Handed,177,26,173,1,Bicycle,5,0,46,Swimming,700,144,308,91,805,910,26,"Right foot",73,73,"Index finger",11.Nov,1.Winter,No,No,"Rice/Noodle dishes",Water,Science,7,9,2,"Yes - broadband connection","In person",0,0,,,,,,,,,,,,,3.Some,"5.Graduate degree",Reggae,"Freeze time",Happy,Relative,Health
2017,y2017,12,G12,CA,Female,17,[17],Right-Handed,157.4,23.5,157.4,2,Bus,17,,53,Dancing,310,422,861,840,369,358,23.5,"Same length",100,70,"Index finger",02.Feb,1.Winter,No,No,Seafood,Coffee,Languages,7,8,8,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",500,250,3,2,3,1,0,0,0,5,2,0,0,1,3.Some,"5.Graduate degree",Reggae,Fly,Happy,"Business person","Education/Youth development"
2011,y2011,12,G12,CA,Male,17,[17],Right-Handed,187.9,33,195.7,1,Car,6,0,58,Cycling,800,700,400,,500,700,33,"Same length",,,"Ring finger",04.Apr,1.Winter,No,No,Poultry,Water,"Physical education",8,9,4,"Yes - broadband connection","In person",6,11,6,1,8,5,10,8,20,2,20,15,7,4,1.None,,,,,,
2021,y2021,12,G12,CA,Male,17,[17],Right-Handed,169,24,169,3,Car,15,0,36,"Football (American)",765,545,845,663,866,1000,25,"Left foot",65,70,"Ring finger",06.Jun,1.Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,12,5,"Yes - broadband connection","Text messaging",70,70,3,10,12,10,15,20,6,3,25,5,0,5,3.Some,"5.Graduate degree","Rap/Hip hop","Freeze time",Rich,"Coach or club leader","Arts, culture, sports"
2018,y2018,12,G12,CA,Male,17,[17],Right-Handed,171,25,180,2,Car,10,0,44,Soccer,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,y2014,11,G11,CA,Female,17,[17],Right-Handed,154,23,152,2,Car,16,0,44,Running/Jogging,800,850,900,750,910,950,22,"Right foot",78,84,"Ring finger",05.May,1.Winter,Yes,No,Pizza/Pasta,"Sports drink","Social studies",4,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",1,2,3,0,30,5,15,0,21,7,28,14,16,7,"4.A lot","5.Graduate degree",Other,Fly,Happy,Friend,"International aid"
2017,y2017,12,G12,CA,Male,17,[17],Right-Handed,182,25,185,1,Car,7,0,47,Other,626,615,620,626,1000,1000,26,"Left foot",77,79,"Ring finger",07.Jul,3.Summer,No,No,"Rice/Noodle dishes",Tea,Music,7.5,8.5,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,10,0,20,3,13,1,20,16,36,6,0,0,"4.A lot","5.Graduate degree",Pop,Invisibility,Happy,Friend,"Arts, culture, sports"
2018,y2018,12,G12,CA,Male,17,[17],Right-Handed,149,28,153,1,Car,17,0,38,Soccer,750,540,663,775,551,829,28.3,"Left foot",95,80,"Index finger",06.Jun,3.Summer,No,No,Pizza/Pasta,Water,Art,7,9,3,"Yes - other","Text messaging",12,15,5,1,6,5,4,2,1,2,15,4,0,0,"4.A lot","4.Undergraduate degree","Rap/Hip hop",Fly,Happy,"Musician or singer","Arts, culture, sports"
2021,y2021,12,G12,CA,Male,17,[17],Right-Handed,180,25,182,1,Car,13,0,38,"Hockey (Ice)",500,750,400,400,550,900,26,"Left foot",64,68,"Ring finger",03.Mar,3.Summer,No,No,Pizza/Pasta,Water,"Computers and technology",9,8,4,"Yes - broadband connection","Text messaging",11,8,4,0.5,11,4,5,2,8,2,8,3,0,0,"2.Very little","5.Graduate degree",Jazz,Fly,Rich,Relative,Health
2016,y2016,11,G11,CA,Female,17,[17],Right-Handed,159,26,159,1,Bus,60,0,35,Swimming,0,95,100,80,95,99,25,"Right foot",80,60,"Index finger",01.Jan,2.Spring,Yes,No,Fruit,Water,"Mathematics and statistics",9,9,5,"Yes - other","Text messaging",30,30,30,0,10,20,12,0,10,45,45,15,0,8,3.Some,"3.Some college","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,152.4,25,180,2,Car,10,1,48,Basketball,3,4,5,6,2,1,25,"Same length",85,83,"Index finger",12.Dec,1.Winter,Yes,Yes,Soups,Tea,English,7,11,5,"Yes - broadband connection","Text messaging",200,250,7,3,5,5,4,0,4,4,4,0,0,3,,,,,,,
2011,y2011,12,G12,CA,Female,17,[17],Right-Handed,161,24,165.1,2,Car,30,0,36,None,1000,1000,800,,950,1000,23,"Right foot",95,100,"Ring finger",04.Apr,3.Summer,No,No,Desserts,Juice,Science,9,10,3,"Yes - broadband connection","In person",0,0,7,0,10,4,0,0,0,2,44,11,0,0,"2.Very little","5.Graduate degree","Punk rock",Telepathy,Rich,Friend,"Arts, culture, sports"
2021,y2021,11,G11,CA,Male,16,[16],Right-Handed,180,27,182,2,Walk,31,0,64,Basketball,1000,1000,1000,503,749,1000,28,"Left foot",70,90,"Ring finger",11.Nov,1.Winter,Yes,No,Poultry,Water,"Computers and technology",6,9,4,"Yes - broadband connection","Text messaging",26,32,3,2,3,2,1.5,0,1,2,6,0,4,2,3.Some,"5.Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
2015,y2015,6,G06,CA,Male,12,[12],Ambidextrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,y2012,12,G12,CA,Male,17,[17],Right-Handed,176,26,173,1,Car,18,0,39,Walking/Hiking,193,487,706,866,1000,1000,26,"Same length",75,70,,07.Jul,1.Winter,Yes,No,Meat,Milk,"Computers and technology",6,11,6,"Yes - broadband connection","In person",0,2,10,0.5,7,15,2,8,0,0,20,10,8,4,3.Some,"4.Undergraduate degree",Techno/Electronic,"Freeze time",Rich,Relative,Health
2016,y2016,12,G12,CA,Female,17,[17],Right-Handed,165,24,162,1,Car,10,0,35,Other,2,4,1,3,6,5,24,"Right foot",90,80,"Ring finger",01.Jan,4.Fall,No,No,"Rice/Noodle dishes",Water,"Social studies",10,8,2,"Yes - broadband connection","Text messaging",20,40,12,2,20,10,9,0,3,3,3,5,0,0,"4.A lot","5.Graduate degree",Country,Telepathy,Happy,"Coach or club leader",Health
2019,y2019,12,G12,CA,Male,16,[16],Right-Handed,179,26,177,3,Car,12,0,42,Athletics,711,492,225,225,856,845,25.5,"Right foot",,,"Index finger",10.Oct,3.Summer,No,No,Meat,Water,"Mathematics and statistics",8,10,3,"Yes - broadband connection","In person",43,47,5,7,20,12,3,10,2,2,15,2,0,2,"4.A lot","5.Graduate degree",Pop,"Freeze time",Happy,Friend,Health
2022,y2022,8,G08,CA,Male,13,[13],Right-Handed,153,23,157,,Boat,12,0,34,"Football (American)",100,200,300,400,500,600,23,"Same length",80,70,"Ring finger",07.Jul,3.Summer,Yes,No,Meat,Juice,"Physical education",4,8,,"Yes - broadband connection",Other,1,4,31,0,0.2,,10,,20,1,20,5,0,5,1.None,6.Other,Classical,"Freeze time",Healthy,"Religious figure","Wildlife, animals"
2015,y2015,6,G06,CA,Male,11,[11],Right-Handed,134,27,153,1,Walk,15,1,68,"Football (American)",374,620,150,476,251,727,24,"Same length",80,70,"Index finger",06.Jun,3.Summer,No,No,Pizza/Pasta,Water,"Computers and technology",10,6,11,"Yes - broadband connection","Cell phone",27,20,4,2,1,2,5,3,1,1,4,6,2,3,"2.Very little","5.Graduate degree","Rap/Hip hop","Super strength",Healthy,Relative,"Arts, culture, sports"
2011,y2011,6,G06,CA,Female,12,[12],Right-Handed,169,26,163,1,Bus,20,0,36,Other,950,875,925,,925,930,25,"Right foot",80,80,"Same length",11.Nov,3.Summer,No,No,Fruit,Milk,"Mathematics and statistics",11,10,5,"Yes - broadband connection","Internet chat or instant messaging",0,1,10,,,,,,,,,,,,,,,,,,
2012,y2012,10,G10,CA,Male,18,[18],Right-Handed,175,29,175,2,Car,5,0,48,Golf,800,800,800,800,800,800,30,"Left foot",80,90,"Ring finger",04.Apr,3.Summer,Yes,No,Pizza/Pasta,"Sports drink",History,,5,2,"Yes - broadband connection","Text messaging",150,150,5,5,10,4,15,0,8,15,6,8,15,4,3.Some,"5.Graduate degree","Rock and roll",Fly,Happy,Relative,Health
2014,y2014,6,G06,CA,Female,12,[12],Right-Handed,160,28,120,1,Car,20,0,46,Basketball,765,920,1000,487,32,840,27,"Right foot",,,"Same length",03.Mar,4.Fall,Yes,No,Meat,Milk,History,9,10,5,"Yes - other","Text messaging",15,36,,3,20,,11,5,15,4,30,10,3,3,3.Some,"5.Graduate degree",Other,Telepathy,Happy,Relative,Environment
2019,y2019,12,G12,CA,Male,16,[16],Right-Handed,158,23.4,159,3,Walk,20,0,52,Athletics,200,750,500,100,140,400,23.4,"Same length",62,62,"Same length",12.Dec,1.Winter,No,No,Meat,Water,"Mathematics and statistics",6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,11,11,1,19,8,10,14,5,2,14,6,0,0,"4.A lot","5.Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,Health
2014,y2014,5,G05,CA,Female,10,[10],Right-Handed,126,19.5,125,2,Car,7,0,51,Cycling,775,824,701,872,725,829,18.5,"Right foot",60,61,"Ring finger",02.Feb,1.Winter,Yes,No,Fruit,Juice,Music,10,13,4,"Yes - other","In person",0,0,12,0,5,5,,,,,,,,,,,,,,,
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,,,152.4,2,Walk,10,1,60,Swimming,500,500,500,500,500,500,19.05,"Right foot",70,50,"Ring finger",04.Apr,3.Summer,No,No,Pizza/Pasta,Water,History,,9,6,"Yes - other","Text messaging",,,7,1,4,5,2,0,10,5,20,0,0,5,"4.A lot","1.Less than high school","Rap/Hip hop",Telepathy,Rich,Other,Health
2019,y2019,12,G12,CA,Male,16,[16],Right-Handed,180.3,25.4,,1,Car,10,0,38,Baseball/Softball,1000,775,503,503,294,406,25.4,"Same length",84,78,"Ring finger",08.Aug,1.Winter,Yes,No,Meat,Water,"Physical education",9,10,5,"Yes - broadband connection","Text messaging",70,78,35,10,5,50,30,10,21,10,45,10,0,7,3.Some,"5.Graduate degree","Rap/Hip hop","Super strength",Happy,"Sports person",Environment
2014,y2014,12,G12,CA,Female,17,[17],Right-Handed,172.2,23.8,170,2,Car,3,1,55,Tennis,300,200,200,200,1000,1000,23.8,"Same length",80,85,"Ring finger",03.Mar,3.Summer,No,No,Salads,Water,"Mathematics and statistics",9,9,3,"Yes - broadband connection","Text messaging",100,100,10,1,25,2,20,0,5,5,7,15,3,0,"4.A lot","5.Graduate degree",Country,Fly,Happy,,Health
2018,y2018,12,G12,CA,Female,17,[17],Right-Handed,161.5,23,168.3,1,Car,5,0,36,Baseball/Softball,1000,1000,800,790,100,750,22.5,"Right foot",69,69,"Same length",11.Nov,1.Winter,Yes,No,Meat,Water,Art,6,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",110,106,25,2,13,30,10,5,5,3,28,3,4,3,3.Some,"5.Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Environment
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,163,25,163,1,Car,25,1,,Baseball/Softball,840,786,834,620,0,500,25,"Right foot",70,80,"Ring finger",03.Mar,1.Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,8,3,"Yes - broadband connection","Cell phone",15,15,40,15,18,10,10,0,18,12,8,25,0,7,"4.A lot","5.Graduate degree",Pop,Telepathy,Happy,"Musician or singer","Wildlife, animals"
2015,y2015,6,G06,CA,Female,12,[12],Right-Handed,153,23,157,2,Car,10,0,48,Gymnastics,1000,239,1000,818,37,1000,23,"Same length",95,80,"Index finger",02.Feb,2.Spring,Yes,No,Fruit,Water,"Physical education",7,13,6,"Yes - broadband connection","In person",27,30,5,4,1,21,2,5,2,1,5,6,1,1,3.Some,"5.Graduate degree",Pop,Fly,,"Business person","International aid"
2017,y2017,9,G09,CA,Male,15,[15],Right-Handed,152,28,100,,Car,20,1,2,Basketball,,,103,,,2,,"Left foot",,50,"Ring finger",01.Jan,2.Spring,Yes,No,Pizza/Pasta,Milk,English,5,13,,"Yes - dial-up connection",E-mail,,1,0,0,,,0,0,0,0,0,0,0,0,"4.A lot","1.Less than high school",Classical,Invisibility,Rich,Other,Other
2019,y2019,12,G12,CA,Female,17,[17],Right-Handed,165,24,172,1,Car,7,0,36,Dancing,500,500,400,600,600,700,25,"Left foot",68,69,"Ring finger",02.Feb,4.Fall,Yes,No,Breads/Sandwiches,"Soft drink (caffeinated)","Mathematics and statistics",5,8,7,"Yes - other","In person",250,,15,,10,7,1,0,7,3,1,4,3,3,3.Some,"5.Graduate degree",Country,Telepathy,Happy,"Musician or singer","International aid"
2018,y2018,11,G11,CA,Female,17,[17],Right-Handed,157,22,154,1,Car,7,0,40,Dancing,1000,1000,1000,1000,636,535,22,"Same length",64,66,"Ring finger",07.Jul,1.Winter,No,No,Pizza/Pasta,Water,Languages,7,10,6,"Yes - other","Cell phone",20,35,5,2,5,2,1,0,2,2,6,3,4,1,"4.A lot","5.Graduate degree",Pop,"Freeze time",Happy,Other,Health
2021,y2021,12,G12,CA,Female,16,[16],Right-Handed,164,24,162,2,Car,25,0,33,Walking/Hiking,600,600,600,600,900,900,,"Left foot",70,79,"Ring finger",10.Oct,2.Spring,No,No,"Rice/Noodle dishes",Water,Art,5,4,3,"Yes - broadband connection","Internet chat or instant messaging",25,50,4,0,6,4,1,9,7,7,15,7,0,2,3.Some,"5.Graduate degree",Techno/Electronic,Telepathy,Rich,"Musician or singer","International aid"
2021,y2021,12,G12,CA,Female,17,[17],Right-Handed,170,25,173,1,Car,3,0,44,Other,904,850,540,650,888,920,24,"Right foot",80,100,"Ring finger",04.Apr,3.Summer,No,No,Meat,Water,English,6,7,5,"Yes - broadband connection","In person",40,40,5,2,3,8,5,1,4,4,1,4,24,5,3.Some,"5.Graduate degree",Other,Fly,Happy,Friend,Health
2012,y2012,12,G12,CA,Female,15,[15],Right-Handed,157.5,21,150,1,Car,15,0,36,Other,900,700,800,800,800,900,22,"Left foot",,,"Index finger",06.Jun,3.Summer,No,No,"Rice/Noodle dishes",Other,History,8,8,3,"Yes - dial-up connection","Text messaging",200,250,,3,12,2,5,,,,,12,0,4,3.Some,"5.Graduate degree","Rap/Hip hop","Freeze time",Happy,"Coach or club leader","Wildlife, animals"
2015,y2015,6,G06,CA,Female,11,[11],Right-Handed,161,22,152,1,Car,5,,57,Soccer,500,700,989,500,400,920,23,"Left foot",75,72,"Index finger",06.Jun,2.Spring,No,No,Fruit,Water,Art,10,8,5,"Yes - other","Text messaging",8,24,10,5,10,10,5,0,0,2,1,0,0,3,"4.A lot","5.Graduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
2017,y2017,12,G12,CA,Male,17,[17],Right-Handed,156,,150,2,Walk,30,1,73,Basketball,900,850,800,800,600,600,,"Same length",,40,"Ring finger",06.Jun,1.Winter,No,No,"No favorite","Soft drink (caffeinated)","Mathematics and statistics",8,7,7,"Yes - broadband connection","In person",5,3,4,4,4,4,4,4,4,4,4,4,4,4,3.Some,"5.Graduate degree",Other,"Freeze time",Happy,"Sports person",Health
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,165.1,22,144.8,2,Bus,45,0,,"Football (American)",363,299,353,251,471,797,23,"Left foot",75,75,"Same length",02.Feb,3.Summer,No,,"Rice/Noodle dishes",Water,History,8,8,5,"Yes - broadband connection","Text messaging",15,15,18,30,13,8,17,2,30,16,26,26,0,3,3.Some,"5.Graduate degree",Pop,"Freeze time",Rich,Relative,Health
2019,y2019,11,G11,CA,Female,17,[17],Right-Handed,110,32,180,1,Walk,60,0,48,None,5,4,3,2,1,0,32,"Same length",70,70,"Ring finger",08.Aug,1.Winter,Yes,Yes,"No favorite",Water,Other,4,,4,"No internet connection",Other,0,0,4,1,0,0,2,5,1,0,5,0,0,0,"4.A lot",6.Other,Other,"Freeze time",Rich,Other,Other
2020,y2020,12,G12,CA,Male,17,[17],Right-Handed,167,25,169,1,Car,8,0,30,Other,,200,15,10,1000,1000,25,"Same length",80,85,"Ring finger",06.Jun,3.Summer,Yes,No,Pizza/Pasta,Water,Other,6,9,3,"Yes - broadband connection","Internet chat or instant messaging",20,28,2,0,2,1,0,3,,5,50,0,0,0,"4.A lot","5.Graduate degree","Rap/Hip hop",Telepathy,Happy,Friend,Environment
2017,y2017,12,G12,CA,Female,16,[16],Right-Handed,158,22,158.5,2,Walk,10,0,54,Soccer,600,500,750,550,600,500,23,"Left foot",75,70,"Index finger",06.Jun,3.Summer,No,No,,,"Mathematics and statistics",8,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,6,1,2,4,4,5,3,2,5,3,0,2,3.Some,"5.Graduate degree","Rap/Hip hop","Super strength",Happy,"Religious figure","International aid"
2013,y2013,10,G10,CA,Female,15,[15],Right-Handed,163,23.5,161,1,"Rail (Train/Tram/Subway)",45,0,47,Other,500,400,800,800,700,1000,23.5,"Same length",66,72,"Ring finger",07.Jul,3.Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,9,4,"Yes - broadband connection","In person",0,0,3,1,18,7,10,1,5,0,20,3,0,3,"4.A lot","5.Graduate degree",Pop,"Freeze time",Happy,"Musician or singer",Health
2018,y2018,12,G12,CA,Male,17,[17],Ambidextrous,170,25,170,2,Skateboard/Scooter/Rollerblade,10,1,36,Skateboarding/Rollerblading,1000,1000,1000,1000,1000,1000,25,"Same length",50.8,60,"Ring finger",04.Apr,1.Winter,No,Yes,Meat,Water,Other,,,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",,,0,0,0,0,0,,,,,,0,0,"4.A lot","3.Some college","Rap/Hip hop",Telepathy,Rich,Friend,Other
2018,y2018,9,G09,CA,Male,14,[14],Right-Handed,160,24,154,2,Car,5,0,30,Other,1000,1000,1000,500,1000,1000,24,"Same length",,,"Ring finger",05.May,1.Winter,No,No,Soups,Water,Music,5,12,7,"Yes - other","In person",0,3,0,0,4,1,0,3,0,0,1,0,0,1,"4.A lot","5.Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Other
2015,y2015,12,G12,CA,Female,17,[17],Left-Handed,153,23,158,2,Walk,10,1,33,Other,1000,900,1000,1000,100,100,22,"Right foot",70,80,"Ring finger",12.Dec,1.Winter,No,No,Fruit,Water,"Mathematics and statistics",7,8,,"Yes - broadband connection","In person",2,3,1,0,2,1,2,0,3,0,4,2,0,1,"4.A lot","5.Graduate degree","Rhythm and blues (R&B)","Super strength",Healthy,"Musician or singer","International aid"
2016,y2016,9,G09,CA,Male,14,[14],Right-Handed,164,20,168,2,Car,20,1,45,Running/Jogging,600,700,900,800,500,500,20,"Same length",99,109,"Ring finger",03.Mar,4.Fall,Yes,No,"No favorite",Water,Music,7,9,4,"Yes - dial-up connection","Text messaging",30,30,5,2,4,6,4,0,3,6,5,3,0,5,"4.A lot","5.Graduate degree",Other,"Freeze time",Happy,Relative,"Wildlife, animals"
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,167.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,y2021,12,G12,CA,Female,16,[16],Right-Handed,175.26,25.1,175.26,2,Car,40,0,40,Other,1000,647,556,588,680,731,,"Right foot",80,75,"Index finger",10.Oct,4.Fall,No,No,Poultry,Water,English,4,9,5,"Yes - broadband connection","Text messaging",5,5,3,2,7,10,12,7,7,5,20,5,0,3,"4.A lot","5.Graduate degree",Other,"Freeze time",Rich,Relative,Environment
2015,y2015,11,G11,CA,Male,16,[16],Right-Handed,160,24,160,2,Car,10,1,54,Other,807,786,947,941,631,636,24,"Same length",70,75,"Ring finger",12.Dec,1.Winter,No,No,Other,Water,"Computers and technology",7,,10,"Yes - broadband connection","In person",5,5,20,0.5,10,40,10,25,0,1,15,1,4,15,"4.A lot","5.Graduate degree","Heavy metal",,Happy,Other,"International aid"
2016,y2016,12,G12,CA,Female,17,[17],Right-Handed,157.48,23,137.16,2,Car,45,0,63,Dancing,800,900,900,800,900,900,23,"Same length",58,55,"Ring finger",10.Oct,3.Summer,No,No,"Rice/Noodle dishes",Water,English,6,8,4,"Yes - broadband connection","Text messaging",80,70,10,1,13,1,1,0,9,8,9,2,0,0,"4.A lot","5.Graduate degree",Pop,Telepathy,Famous,Actor,Health
2017,y2017,12,G12,CA,,16,[16],Right-Handed,168,19,168,2,Bus,55,0,66,Swimming,1000,1000,1000,1000,1000,1000,19,"Same length",,,"Index finger",03.Mar,1.Winter,No,No,Pizza/Pasta,Water,History,6,11,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",2,6,28,42,35,18,21,0,36,5,38,42,0,14,"4.A lot",6.Other,"Rhythm and blues (R&B)","Freeze time",Happy,Relative,"Arts, culture, sports"
2015,y2015,12,G12,CA,Female,17,[17],Left-Handed,155,20,153,2,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,y2012,12,G12,CA,Female,17,[17],Right-Handed,170.2,24,177,1,Car,5,0,37,Soccer,500,600,200,100,800,900,25,"Left foot",80,70,"Index finger",09.Sep,4.Fall,No,No,Breads/Sandwiches,Water,Science,7,10,3,"Yes - broadband connection","Text messaging",80,80,25,3,7,14,18,3,40,,50,30,0,7,3.Some,"2.High school",Country,Telepathy,Happy,Relative,"Arts, culture, sports"
2011,y2011,12,G12,CA,Female,17,[17],Right-Handed,170,16,153,2,Walk,5,0,40,Soccer,350,300,500,,500,600,16,"Same length",65,68,"Ring finger",01.Jan,2.Spring,No,No,Pizza/Pasta,Water,Science,7,10,5,"Yes - broadband connection","Text messaging",30,30,15,2,10,7,6,2,3,12,5,20,0,8,3.Some,"5.Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"International aid"
2015,y2015,7,G07,CA,Male,12,[12],Right-Handed,160,28,160,1,Car,20,0,35,Baseball/Softball,121,299,856,182,963,1000,29,"Left foot",85,75,"Index finger",06.Jun,3.Summer,No,No,Meat,"Sports drink","Physical education",8,9,5,"Yes - other",Other,68,259,4,4,3,6,15,8,4,9,10,5,2,2,"2.Very little","5.Graduate degree","Rap/Hip hop",Invisibility,Famous,"Sports person","Education/Youth development"
2021,y2021,12,G12,CA,Male,17,[17],Right-Handed,164.6,26,158,1,Car,3,0,46,"Hockey (Field)",952,930,957,947,503,380,25,"Right foot",80,90,"Ring finger",12.Dec,4.Fall,No,No,Meat,Water,Music,6,8,5,"Yes - broadband connection","Text messaging",200,200,6,13,28,20,15,7,30,,50,30,0,24,3.Some,"4.Undergraduate degree",Pop,Telepathy,Healthy,Relative,"Wildlife, animals"
2018,y2018,12,G12,CA,Female,17,[17],Right-Handed,168,25,142,1,Car,20,0,40,Gymnastics,800,800,1000,200,500,1000,22,"Right foot",77,76,"Index finger",10.Oct,4.Fall,No,No,Pizza/Pasta,Coffee,Science,8,10,3,"Yes - broadband connection","Text messaging",200,180,25,1,4,10,5,1,15,,20,10,10,1,3.Some,"5.Graduate degree","Rap/Hip hop",Invisibility,Rich,Friend,Health
2016,y2016,12,G12,CA,Male,16,[16],,192,33,202,1,Car,25,3,50,"Football (American)",200,400,600,800,800,800,33,,,,"Same length",11.Nov,4.Fall,Yes,,Meat,Juice,Science,5,9,3,"Yes - broadband connection","In person",0,0,10,6,12,2,18,3,8,4,9,1,0,6,"4.A lot","5.Graduate degree","Rap/Hip hop",Invisibility,Happy,Teacher,Environment
2018,y2018,11,G11,CA,Female,17,[17],Right-Handed,167.6,23.8,167.6,1,Car,15,0,41,"Hockey (Field)",950,1000,900,800,700,1000,24.2,"Left foot",88.9,96.5,"Ring finger",03.Mar,3.Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7.5,8.5,6,"Yes - broadband connection","Text messaging",8,12,2,0,17,5,10,3,5,0.5,15,0.5,0,0,"4.A lot","5.Graduate degree",Pop,"Freeze time",Happy,"Coach or club leader","International aid"
2016,y2016,12,G12,CA,Male,16,[16],Right-Handed,157,21,152,1,Car,20,0,39,Basketball,900,800,1000,900,500,800,23,"Left foot",65,70,"Index finger",08.Aug,3.Summer,No,No,,Juice,"Physical education",7,8,5,"Yes - broadband connection","Text messaging",100,80,8,0.5,10,7,6,15,7,7,15,3,0,6,3.Some,"3.Some college",Gospel,Fly,Famous,"Religious figure",Religious
2011,y2011,7,G07,CA,Male,13,[13],Ambidextrous,168,23,168,1,Car,10,0,40,Lacrosse,524,600,850,,727,831,25,"Left foot",85,90,"Ring finger",01.Jan,3.Summer,Yes,No,"No favorite",Water,"Physical education",9,10,10,"Yes - broadband connection","Text messaging",6,13,3,,,,,,,,,,,,,,,,,,
2020,y2020,12,G12,CA,Female,16,[16],Right-Handed,172,19,167,2,Walk,10,0,40,"Martial Arts",800,400,700,700,300,500,19,"Same length",,58,"Same length",06.Jun,4.Fall,No,Yes,"Rice/Noodle dishes",Water,Science,7,8,4,"Yes - broadband connection","Text messaging",60,50,4,4,13,2,5,0,1,6,20,0,0,0,1.None,"5.Graduate degree",Pop,Invisibility,Happy,"Doctor or nurse",Health
2016,y2016,12,G12,CA,Male,17,[17],Right-Handed,175,25,170,1,Car,30,1,46,Other,0,0,700,700,1000,1000,24.9,"Right foot",85,80,"Ring finger",06.Jun,1.Winter,Yes,No,Meat,Water,"Physical education",7,9,4,"Yes - other","Text messaging",50,19,0,0,3,8,2,1,15,0,11,0,0,0,3.Some,"5.Graduate degree",Other,Invisibility,Healthy,"Sports person","Arts, culture, sports"
2015,y2015,8,G08,CA,Male,15,[15],Right-Handed,165.1,25.4,,3,Skateboard/Scooter/Rollerblade,20,1,20,Skateboarding/Rollerblading,1000,1000,1000,1000,500,500,25.4,"Same length",,,"Same length",02.Feb,1.Winter,No,No,Pizza/Pasta,Coffee,"Physical education",4,,5,"No internet connection","Myspace, Facebook, other social networking sites, or blog",30,42,6,0,1,3,2,1,4,3,0,0,0,2,"4.A lot","5.Graduate degree",Techno/Electronic,Invisibility,Healthy,Other,Health
2018,y2018,6,G06,CA,Male,11,[11],Ambidextrous,161,25,153,1,Car,15,0,43,"Football (American)",873,952,1000,964,900,899,24,"Right foot",80,75,"Index finger",05.May,2.Spring,No,No,Other,Juice,"Physical education",9,8,7,"Yes - dial-up connection","In person",0,2,5,0,2,1,4,2,1,0,2,0,0,1,3.Some,"5.Graduate degree",Pop,"Super strength",Healthy,"Sports person",Health
2018,y2018,6,G06,CA,Female,11,[11],Right-Handed,150,23,145,3,Car,9,0,56,Basketball,1000,950,900,800,525,615,25,"Left foot",70,72,"Ring finger",05.May,1.Winter,No,No,Salads,Juice,"Physical education",8,11,5,,"Text messaging",53,87,9,0,18,10,5,5,13,17,19,5,0,6,3.Some,"5.Graduate degree",Pop,Telepathy,Happy,"Musician or singer","Wildlife, animals"
