"Data Year","Data Year (cat)","Class Grade","Class Grade (cat)",State,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2016,y2016,4,G04,CA,Female,8,[08],Right-Handed,116.8,16.51,109.2,3,Walk,2,1,106,Other,1000,100,1000,169,1000,1000,16.51,"Same length",50.8,63.5,"Ring finger",09.Sep,3.Summer,No,No,Desserts,Water,Other,10,13,3,"Yes - other",Telephone,0,0,6,0,1,14,2,5,0,0,1,8,0,1,1.None,"5.Graduate degree",Pop,Invisibility,Healthy,Other,Other
2019,y2019,9,G09,CA,Female,14,[14],Right-Handed,154,24,155,2,Car,5,0,31,Dancing,500,900,500,550,100,400,23,"Right foot",70,71,"Ring finger",08.Aug,4.Fall,Yes,No,"Rice/Noodle dishes",Tea,Other,,9,11,"Yes - broadband connection","Internet chat or instant messaging",36,51,28,0,8,10,8,2,7,8,14,1,0,7,3.Some,"5.Graduate degree",Other,"Freeze time",Happy,"Musician or singer",Environment
2020,y2020,12,G12,CA,Male,17,[17],Right-Handed,175.3,27,180,1,Walk,2,0,51,Lacrosse,900,900,900,900,900,900,27,"Same length",,,"Index finger",07.Jul,4.Fall,No,No,Meat,Coffee,History,8,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,10,10,1,2,8,4,4,20,15,20,2,20,2,1.None,"4.Undergraduate degree",Country,Telepathy,Happy,"Religious figure",Religious
2014,y2014,7,G07,CA,,12,[12],Left-Handed,154,23,152.4,1,Car,18,0,38,Swimming,800,800,900,800,700,800,23,"Same length",80,75,"Index finger",12.Dec,1.Winter,Yes,No,"No favorite",Water,"Mathematics and statistics",9,10,5,"Yes - broadband connection","Text messaging",10,20,3,1,7,4,5,4,0,2,5,2,1,1,3.Some,"4.Undergraduate degree",Pop,Telepathy,Rich,"Business person","Wildlife, animals"
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,152.4,,152.4,1,Car,5,0,44,Basketball,,,,,,,,"Left foot",,130,"Index finger",02.Feb,3.Summer,Yes,No,Breads/Sandwiches,Water,Other,8,9,4,"Yes - other","Text messaging",45,115,24,6,5,6,3,0,8,5,0,0,24,10,3.Some,"5.Graduate degree",Pop,Telepathy,Happy,Relative,Religious
2012,y2012,12,G12,CA,Male,17,[17],Right-Handed,182,27,182,2,Car,10,0,33,Athletics,500,500,500,500,1000,1000,26,"Right foot",77,81,"Ring finger",11.Nov,3.Summer,No,No,Meat,"Soft drink (caffeinated)","Computers and technology",8,8,3,"Yes - broadband connection","Text messaging",200,200,6,9,0,5,5,9,7,21,21,1,0,0,1.None,"5.Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Friend,"International aid"
2015,y2015,11,G11,CA,Male,17,[17],Right-Handed,165,26,164,2,Bus,15,,61,Soccer,,,,,1000,1000,25,"Same length",,,"Index finger",11.Nov,2.Spring,No,No,Seafood,Milk,"Mathematics and statistics",8,8,6,"No internet connection","In person",5,6,8,2,10,3,6,0,0,1,2,4,30,2,"4.A lot","4.Undergraduate degree",Pop,"Super strength",Healthy,Teacher,Religious
2012,y2012,12,G12,CA,Male,17,[17],Right-Handed,175,10,170,1,Car,30,0,37,Golf,1,,,,,,10,"Right foot",70,85,"Ring finger",07.Jul,2.Spring,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,8,4,"Yes - broadband connection","Text messaging",30,40,,,,,,,,,,,,,"4.A lot","5.Graduate degree",Country,Fly,Happy,Relative,Other
2015,y2015,12,G12,CA,Female,16,[16],Right-Handed,160,23,161,1,Walk,45,1,41,Other,750,900,600,400,100,999,24,"Left foot",76,85,"Index finger",09.Sep,2.Spring,Yes,No,Fruit,Water,Science,5,7,9,"Yes - other","Text messaging",60,120,3.5,2,30,,10,0,12,10,8,4,0,5,3.Some,6.Other,Other,Telepathy,Happy,"Religious figure","International aid"
2011,y2011,12,G12,CA,Female,17,[17],Right-Handed,174,24,125,1,Car,12,0,,Soccer,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
