Food,Quantity,Units,Price,Date,Location,FDC
Chillies,36,oz,24.49,[2018-11-05 Monday],Amazon,173476
Coconut,1,lb,5.99,[2018-11-05 Monday],nuts.com,170169
Gur (jaggery)  ,1,lb,3.63,[2018-11-05 Monday],Udupi Jaggery Powder,567640
Jowar/Sorghum (Local variety),1,lb,3.99,[2018-11-05 Monday],nuts.com,447350
Milk,1,gal,1.98,[2018-11-05 Monday],Target,336070
Onion,10,lbs,6.99,[2018-11-05 Monday],loblaws.ca,170000
Redgram dhal,2,lbs,3.88,[2019-10-15 Monday],jet.com,172472
Sugar,4,lbs,2.39,[2019-10-15 Monday],Target,169656
Tea,100,ml,3.69,[2018-11-05 Monday],Target,561207
